service_id,vehicle_id,service_date,component_replaced,cost,issue_type
S20000,V12551,2023-01-11,Battery,13529.0,Wear & Tear
S20001,V13012,2023-06-12,Suspension,3495.0,Wear & Tear
S20002,V16549,2024-02-06,Engine,14162.0,Discharge
S20003,V17432,2024-07-11,Transmission,1256.0,Leakage
S20004,V10933,2024-06-27,Transmission,1708.0,Malfunction
S20005,V17497,2024-01-14,Transmission,11248.0,Discharge
S20006,V16340,2024-02-29,Brake Pad,6861.0,Wear & Tear
S20007,V15458,2022-09-04,Brake Pad,8456.0,Wear & Tear
S20008,V13510,2023-08-06,Engine,10601.0,Malfunction
S20009,V19313,2024-01-16,Suspension,6320.0,Wear & Tear
S20010,V13725,2023-10-07,Unknown,10040.0,Wear & Tear
S20011,V14836,2024-01-04,Suspension,14221.0,Leakage
S20012,V11056,2022-03-25,Engine,9496.0,Malfunction
S20013,V14561,2023-12-19,Engine,4862.0,Leakage
S20014,V15254,2022-08-14,Brake Pad,8521.0,Malfunction
S20015,V11806,2023-06-15,Brake Pad,3164.0,Malfunction
S20016,V19254,2023-01-30,Battery,3597.0,Discharge
S20017,V14457,2023-12-20,Transmission,12516.0,Discharge
S20018,V13624,2024-04-30,Engine,5839.0,Leakage
S20019,V11930,2024-06-13,Engine,3718.0,Overheating
S20020,V15832,2023-11-04,Suspension,7041.0,Overheating
S20021,V14996,2022-09-14,AC,7768.0,Wear & Tear
S20022,V13638,2024-07-31,Brake Pad,3926.0,Leakage
S20023,V15125,2023-02-26,Transmission,7804.0,Malfunction
S20024,V13313,2023-09-24,Brake Pad,8569.0,Malfunction
S20025,V18910,2023-01-04,Transmission,5789.0,Discharge
S20026,V14532,2022-06-26,Transmission,7863.0,Leakage
S20027,V11509,2022-11-04,Engine,7433.0,Discharge
S20028,V16193,2024-05-18,Battery,12084.0,Wear & Tear
S20029,V13209,2023-04-17,AC,10891.0,Discharge
S20030,V13243,2023-03-21,Battery,5471.0,Overheating
S20031,V13017,2024-08-16,Engine,8461.0,Malfunction
S20032,V16670,2022-12-25,Engine,10953.0,Wear & Tear
S20033,V19677,2023-03-22,AC,12221.0,Leakage
S20034,V13428,2024-04-17,Brake Pad,5591.0,Discharge
S20035,V12657,2023-03-17,Battery,9403.0,Discharge
S20036,V10466,2023-06-21,Transmission,3820.0,Malfunction
S20037,V18553,2023-12-22,Engine,10866.0,Wear & Tear
S20038,V16523,2023-09-28,Transmission,1607.0,Wear & Tear
S20039,V12331,2022-04-02,Suspension,6020.0,Wear & Tear
S20040,V17930,2023-09-07,Brake Pad,12135.0,Malfunction
S20041,V13778,2022-01-12,Brake Pad,11964.0,Wear & Tear
S20042,V16780,2023-10-15,Suspension,3989.0,Overheating
S20043,V14890,2022-07-17,Transmission,2513.0,Discharge
S20044,V16016,2022-08-04,Battery,3646.0,Wear & Tear
S20045,V17023,2023-09-24,AC,9103.0,Wear & Tear
S20046,V17974,2022-08-19,Transmission,6924.0,Leakage
S20047,V10279,2022-03-20,Brake Pad,7243.0,Overheating
S20048,V11837,2023-06-05,Suspension,1265.0,Wear & Tear
S20049,V17847,2022-05-30,Engine,13990.0,Overheating
S20050,V15863,2023-07-19,Battery,3270.0,Malfunction
S20051,V16535,2022-04-23,Battery,14633.0,Overheating
S20052,V17263,2022-07-31,Engine,8396.0,Discharge
S20053,V13977,2024-04-06,AC,9891.0,Wear & Tear
S20054,V13175,2024-01-06,Transmission,3152.0,Wear & Tear
S20055,V15483,2023-08-21,Engine,10635.0,Discharge
S20056,V18790,2022-12-06,Brake Pad,8451.0,Leakage
S20057,V11853,2022-03-13,Brake Pad,7206.0,Leakage
S20058,V13167,2023-04-15,Brake Pad,8178.0,Leakage
S20059,V12356,2024-07-19,Transmission,6188.0,Malfunction
S20060,V14090,2023-06-21,Unknown,13246.0,Wear & Tear
S20061,V12880,2023-12-09,Unknown,4379.0,Leakage
S20062,V10379,2023-10-09,Engine,13191.0,Wear & Tear
S20063,V16801,2022-08-28,Battery,1130.0,Wear & Tear
S20064,V18887,2024-07-28,Battery,1766.0,Overheating
S20065,V18037,2023-03-30,Battery,4262.0,Leakage
S20066,V14091,2023-03-27,Suspension,4650.0,Overheating
S20067,V14423,2023-09-27,Battery,6991.0,Leakage
S20068,V18849,2023-07-29,Suspension,9459.0,Malfunction
S20069,V13589,2022-10-18,Transmission,13522.0,Wear & Tear
S20070,V17043,2024-08-22,Battery,6982.0,Leakage
S20071,V18368,2023-03-07,Engine,4822.0,Leakage
S20072,V10308,2023-08-29,AC,14915.0,Leakage
S20073,V19346,2022-03-16,Unknown,6271.0,Malfunction
S20074,V13674,2023-01-10,Engine,8886.0,Malfunction
S20075,V12926,2023-09-30,Engine,1618.0,Leakage
S20076,V13198,2023-01-21,Brake Pad,6516.0,Overheating
S20077,V10686,2024-05-26,Battery,5803.0,Discharge
S20078,V17975,2024-03-10,Brake Pad,13385.0,Discharge
S20079,V17947,2022-10-29,AC,12028.0,Malfunction
S20080,V10988,2022-03-24,Suspension,11446.0,Discharge
S20081,V10805,2024-01-27,Battery,1645.0,Wear & Tear
S20082,V17756,2022-11-25,Brake Pad,6549.0,Leakage
S20083,V17608,2023-10-16,Suspension,11184.0,Discharge
S20084,V16269,2023-10-12,Battery,2184.0,Leakage
S20085,V18538,2023-01-27,Unknown,4485.0,Malfunction
S20086,V10109,2024-01-15,Transmission,4062.0,Leakage
S20087,V19040,2022-03-26,AC,10584.0,Malfunction
S20088,V13424,2023-11-26,Engine,14752.0,Wear & Tear
S20089,V17954,2024-08-06,Brake Pad,3610.0,Leakage
S20090,V14160,2022-05-09,Suspension,1187.0,Leakage
