claim_id,vehicle_id,claim_date,claim_amount,claim_status,component
W30000,V19829,2023-09-15,11398,Rejected,Transmission
W30001,V14602,2024-07-28,10376,Approved,Transmission
W30002,V17940,2023-06-20,1980,Rejected,Suspension
W30003,V12448,2022-09-23,5738,Approved,Brake Pad
W30004,V13902,2023-01-01,6576,Rejected,Brake Pad
W30005,V10267,2023-03-14,5087,Rejected,Brake Pad
W30006,V10263,2023-07-30,4967,Approved,Battery
W30007,V16196,2023-12-04,7519,Approved,Brake Pad
W30008,V11293,2023-10-21,1903,Approved,Battery
W30009,V10907,2022-05-05,6869,Rejected,Engine
W30010,V18712,2023-09-14,6380,Rejected,Battery
W30011,V17325,2024-03-17,4116,Approved,AC
W30012,V11923,2023-01-27,14057,Approved,Suspension
W30013,V19092,2022-09-15,14784,Rejected,Suspension
W30014,V13948,2022-10-20,3601,Approved,Suspension
W30015,V18473,2022-10-08,7761,Approved,Transmission
W30016,V14525,2023-03-17,12563,Approved,Battery
W30017,V15260,2024-01-23,5614,Approved,AC
W30018,V11242,2023-11-17,5670,Rejected,Brake Pad
W30019,V13952,2023-09-27,14790,Approved,Suspension
W30020,V17782,2023-07-09,12487,Rejected,AC
W30021,V17254,2024-09-12,1563,Approved,AC
W30022,V12743,2023-10-07,14824,Rejected,AC
W30023,V12879,2023-09-22,1012,Approved,Brake Pad
W30024,V17483,2023-11-30,11374,Approved,AC
W30025,V19069,2023-04-19,10382,Rejected,Brake Pad
W30026,V18830,2024-03-28,5237,Approved,Brake Pad
W30027,V13351,2024-01-19,9876,Rejected,Battery
W30028,V13383,2023-09-10,1555,Approved,Battery
W30029,V17537,2024-09-05,4599,Approved,Transmission
W30030,V13795,2024-01-10,1990,Approved,Suspension
W30031,V10824,2022-09-24,6669,Approved,AC
W30032,V18199,2023-10-20,6049,Approved,Suspension
W30033,V12719,2023-12-09,11356,Approved,Battery
W30034,V15101,2023-03-21,5900,Approved,Brake Pad
W30035,V19256,2023-08-27,5464,Rejected,Brake Pad
W30036,V11503,2023-08-17,11015,Rejected,Engine
W30037,V12550,2022-06-25,1590,Approved,Battery
W30038,V17199,2022-02-05,9578,Approved,Transmission
W30039,V13952,2023-05-17,4558,Approved,Suspension
W30040,V15993,2024-02-10,11364,Rejected,Battery
W30041,V18835,2022-07-17,10519,Approved,Transmission
W30042,V14165,2023-07-30,13008,Approved,Suspension
W30043,V11755,2022-10-01,5415,Approved,AC
W30044,V17420,2024-02-21,4791,Rejected,Brake Pad
W30045,V16465,2022-07-28,10011,Approved,Engine
W30046,V16243,2023-09-03,2358,Approved,Brake Pad
W30047,V11973,2022-07-09,14542,Approved,Engine
W30048,V17275,2024-03-23,2794,Rejected,Suspension
W30049,V15920,2023-01-06,9483,Approved,Engine
W30050,V12163,2023-09-30,5065,Rejected,Suspension
W30051,V16155,2022-12-26,13554,Rejected,AC
W30052,V15391,2024-06-28,3267,Approved,Suspension
W30053,V15511,2024-05-06,5901,Rejected,Suspension
W30054,V18787,2022-10-03,3830,Rejected,Brake Pad
W30055,V10203,2022-01-01,9358,Rejected,Brake Pad
W30056,V11266,2022-03-03,14675,Approved,Transmission
W30057,V10565,2023-01-13,7089,Approved,Brake Pad
W30058,V10306,2023-12-28,9311,Approved,Battery
W30059,V19913,2022-09-17,1305,Approved,Battery
W30060,V18790,2023-01-25,5814,Rejected,Suspension
W30061,V18073,2024-05-21,10912,Rejected,Brake Pad
W30062,V13365,2023-12-17,6382,Rejected,Engine
W30063,V12358,2023-10-04,4788,Approved,Engine
W30064,V15674,2022-03-02,14123,Approved,Suspension
W30065,V12827,2022-02-02,5717,Rejected,AC
W30066,V15887,2022-01-16,5322,Approved,Battery
W30067,V16009,2024-04-16,12509,Rejected,AC
W30068,V14263,2023-02-09,9300,Approved,Suspension
W30069,V14438,2023-05-07,4568,Approved,Suspension
W30070,V14221,2024-09-13,13718,Approved,Battery
W30071,V17849,2023-03-20,5340,Approved,AC
W30072,V10407,2023-11-28,10910,Approved,Suspension
W30073,V13567,2023-07-21,13900,Rejected,AC
W30074,V14618,2024-04-22,7922,Approved,Brake Pad
W30075,V14839,2024-03-30,3345,Rejected,Suspension
W30076,V13204,2022-08-24,9042,Rejected,AC
W30077,V11530,2023-03-12,12755,Approved,Battery
W30078,V10608,2022-10-26,9889,Rejected,Suspension
W30079,V11734,2022-08-09,6563,Rejected,Battery
W30080,V18476,2023-07-26,10879,Rejected,Suspension
W30081,V11793,2022-09-10,6032,Rejected,Suspension
W30082,V11987,2023-04-15,12344,Rejected,Battery
W30083,V12495,2023-03-23,1096,Rejected,Transmission
W30084,V18904,2023-07-26,5291,Approved,AC
W30085,V17762,2023-02-17,9898,Rejected,Battery
W30086,V10967,2023-08-03,5048,Approved,Transmission
W30087,V18781,2024-08-06,2464,Approved,Brake Pad
W30088,V15389,2022-08-19,4853,Approved,Suspension
W30089,V18053,2022-07-02,1993,Approved,Engine
W30090,V16783,2023-04-28,2876,Approved,Brake Pad
W30091,V11326,2023-04-23,13690,Rejected,Transmission
W30092,V15013,2023-05-23,12390,Approved,Engine
W30093,V19366,2023-01-10,9543,Approved,Engine
W30094,V13555,2024-05-30,1433,Approved,Suspension
W30095,V16090,2023-06-18,12855,Rejected,Engine
W30096,V16432,2023-07-21,9737,Approved,AC
W30097,V18789,2022-04-09,5202,Approved,Battery
W30098,V18935,2024-02-27,6578,Approved,AC
W30099,V13921,2023-07-24,7443,Rejected,Engine
W30100,V18033,2023-07-01,13236,Rejected,Engine
W30101,V11872,2022-06-05,3077,Rejected,Suspension
W30102,V17599,2022-04-11,9961,Approved,Brake Pad
W30103,V12805,2022-02-13,8252,Approved,AC
W30104,V17464,2023-06-16,10083,Rejected,AC
W30105,V15328,2022-03-12,4615,Rejected,Battery
W30106,V15446,2024-08-30,11741,Approved,Battery
W30107,V12696,2022-04-14,4729,Approved,Brake Pad
W30108,V19014,2024-06-07,3402,Rejected,Transmission
W30109,V12462,2023-09-28,9746,Rejected,AC
W30110,V12445,2024-04-29,14244,Approved,Battery
W30111,V18110,2022-05-24,11726,Approved,Engine
W30112,V15881,2022-08-02,5241,Rejected,AC
W30113,V16062,2024-01-15,3327,Approved,AC
W30114,V13523,2022-04-30,13678,Approved,Brake Pad
W30115,V17466,2024-06-09,5766,Approved,Suspension
W30116,V11566,2024-01-20,8564,Approved,Battery
W30117,V16990,2023-08-15,6135,Rejected,AC
W30118,V12849,2022-06-16,14922,Approved,Suspension
W30119,V15978,2024-01-31,12582,Rejected,Transmission
W30120,V11978,2023-01-12,3755,Rejected,AC
W30121,V10525,2022-04-30,14296,Rejected,Transmission
W30122,V13361,2023-07-20,11521,Approved,Engine
W30123,V18887,2024-05-24,1865,Rejected,Engine
W30124,V10960,2023-12-20,9750,Approved,Engine
W30125,V13761,2023-08-13,2849,Rejected,Transmission
W30126,V14361,2023-02-16,14281,Approved,Engine
W30127,V14455,2023-03-11,12348,Approved,Battery
W30128,V14119,2024-04-16,10101,Rejected,Engine
W30129,V16010,2022-09-06,9889,Approved,AC
W30130,V10461,2023-02-28,3589,Approved,Engine
W30131,V15858,2023-09-11,7150,Rejected,Engine
W30132,V15464,2022-05-14,9481,Rejected,Brake Pad
W30133,V15878,2023-07-21,3981,Approved,Engine
W30134,V17798,2024-04-04,13347,Rejected,Brake Pad
W30135,V14143,2023-12-16,6925,Rejected,Brake Pad
W30136,V13861,2024-05-29,7519,Approved,Brake Pad
W30137,V18522,2024-02-10,1428,Rejected,Suspension
W30138,V12810,2022-12-03,8409,Rejected,Brake Pad
W30139,V14889,2022-09-07,5885,Rejected,Engine
W30140,V17062,2024-02-22,6214,Approved,Brake Pad
W30141,V17286,2022-08-25,8504,Rejected,Battery
W30142,V11890,2024-07-29,2017,Approved,AC
W30143,V12830,2024-01-23,10827,Approved,Engine
W30144,V17328,2022-03-25,11434,Approved,Transmission
W30145,V10767,2022-10-14,5102,Approved,Battery
W30146,V14530,2023-05-10,12470,Rejected,AC
W30147,V16844,2023-10-24,12480,Rejected,Brake Pad
W30148,V18835,2022-02-12,14430,Rejected,Suspension
W30149,V15706,2022-08-05,12922,Rejected,AC
W30150,V12754,2022-01-09,5451,Approved,Battery
W30151,V13562,2023-06-21,9929,Rejected,AC
W30152,V19679,2024-06-27,3083,Approved,Engine
W30153,V18642,2023-08-09,12779,Approved,Battery
W30154,V16312,2023-10-30,1334,Approved,AC
W30155,V14755,2022-05-19,11591,Approved,Battery
W30156,V13968,2022-06-08,3879,Approved,Battery
W30157,V15550,2024-02-17,1069,Approved,Battery
W30158,V17934,2023-07-19,5331,Approved,Transmission
W30159,V14807,2024-03-07,11364,Approved,Battery
W30160,V18924,2024-08-11,2252,Rejected,Brake Pad
W30161,V10068,2022-06-22,9148,Rejected,Engine
W30162,V12491,2023-12-05,4179,Approved,Battery
W30163,V17643,2022-08-24,8460,Rejected,Suspension
W30164,V17862,2024-03-04,11305,Approved,Battery
W30165,V19798,2022-08-21,8944,Rejected,Suspension
W30166,V12659,2022-11-03,8204,Approved,AC
W30167,V15289,2022-09-04,5618,Approved,AC
W30168,V15756,2024-02-20,12913,Approved,AC
W30169,V18033,2022-10-16,10840,Rejected,Suspension
W30170,V19418,2022-09-27,13910,Approved,Suspension
W30171,V10205,2023-09-05,11031,Approved,Suspension
W30172,V12024,2024-09-09,10975,Approved,Brake Pad
W30173,V13685,2024-07-11,12478,Approved,AC
W30174,V14427,2023-04-24,4919,Approved,AC
W30175,V19713,2022-06-03,13374,Rejected,Suspension
W30176,V12740,2022-08-01,6690,Rejected,Transmission
W30177,V14855,2024-05-18,9356,Approved,Transmission
W30178,V15414,2022-06-06,1643,Rejected,Engine
W30179,V13768,2022-02-15,3203,Rejected,Transmission
W30180,V13560,2024-04-12,10435,Approved,AC
W30181,V16306,2023-04-25,2895,Rejected,Engine
W30182,V14011,2023-12-19,12086,Approved,Brake Pad
W30183,V14093,2022-12-25,12945,Approved,Transmission
W30184,V17844,2022-12-30,11351,Approved,Battery
W30185,V12312,2023-03-26,2890,Rejected,Suspension
W30186,V16861,2023-09-16,12838,Approved,Transmission
W30187,V19086,2022-05-02,12830,Rejected,Transmission
W30188,V17283,2022-09-28,11296,Approved,Transmission
W30189,V13225,2022-05-01,2754,Rejected,Transmission
W30190,V18676,2023-07-26,5493,Rejected,Battery
W30191,V17146,2024-01-10,14498,Approved,Transmission
W30192,V16433,2023-07-31,5842,Rejected,Suspension
W30193,V14799,2024-09-07,7167,Approved,Transmission
W30194,V17099,2022-11-03,5462,Approved,Brake Pad
W30195,V18428,2023-04-04,2801,Approved,AC
W30196,V16622,2023-06-13,14158,Rejected,Transmission
W30197,V11446,2022-07-14,5350,Approved,Battery
W30198,V18624,2022-06-15,3367,Approved,Engine
W30199,V17486,2022-09-08,12687,Approved,Engine
W30200,V19576,2024-01-01,4802,Approved,AC
W30201,V13868,2023-03-08,6062,Approved,Transmission
W30202,V11444,2024-04-20,8981,Rejected,Engine
W30203,V16978,2022-08-09,2741,Approved,Suspension
W30204,V10035,2022-08-01,5165,Rejected,Transmission
W30205,V12087,2023-01-28,8441,Approved,Brake Pad
W30206,V13059,2024-05-21,11963,Approved,Suspension
W30207,V13293,2022-12-06,13390,Approved,Brake Pad
W30208,V14632,2022-11-17,14886,Approved,Brake Pad
W30209,V12676,2022-06-09,4812,Approved,Battery
W30210,V10322,2023-11-18,4436,Approved,Suspension
W30211,V17052,2022-09-17,12821,Approved,Transmission
W30212,V10412,2022-01-03,10194,Approved,Brake Pad
W30213,V12032,2022-12-05,10446,Approved,AC
W30214,V18161,2023-05-12,9255,Approved,Brake Pad
W30215,V10574,2024-07-16,4539,Approved,Suspension
W30216,V12025,2024-07-09,4088,Approved,Transmission
W30217,V15426,2024-08-07,6248,Rejected,Transmission
W30218,V13006,2022-05-04,8205,Rejected,Transmission
W30219,V18368,2024-09-13,12905,Approved,Brake Pad
W30220,V11150,2022-09-18,10865,Rejected,Suspension
W30221,V19733,2022-01-31,9266,Approved,Transmission
W30222,V18747,2023-10-12,7202,Rejected,Suspension
W30223,V17636,2023-03-03,1538,Approved,Battery
W30224,V17664,2022-08-13,6957,Rejected,Battery
W30225,V14146,2023-11-13,3249,Rejected,Battery
W30226,V19858,2022-03-04,5114,Approved,Suspension
W30227,V12854,2024-06-14,5023,Approved,Transmission
W30228,V14158,2022-08-25,4107,Approved,AC
W30229,V14053,2022-01-26,13265,Approved,Battery
W30230,V11176,2023-05-14,14556,Approved,AC
W30231,V14848,2023-04-11,14784,Approved,AC
W30232,V12015,2023-12-17,8294,Approved,AC
W30233,V16747,2022-10-28,13089,Approved,Brake Pad
W30234,V19839,2022-09-20,4707,Rejected,Battery
W30235,V10992,2022-05-15,1093,Approved,Suspension
W30236,V10019,2022-10-20,4336,Rejected,Battery
W30237,V12294,2024-08-02,5360,Approved,Engine
W30238,V15551,2023-09-17,10247,Approved,Transmission
W30239,V19701,2024-02-10,1897,Approved,Transmission
W30240,V18791,2023-11-09,13061,Rejected,Transmission
W30241,V15873,2024-05-07,14610,Rejected,Brake Pad
W30242,V15622,2023-02-03,13842,Approved,Suspension
W30243,V14386,2022-12-07,4739,Rejected,Engine
W30244,V18049,2023-07-09,11933,Approved,Brake Pad
W30245,V13844,2022-06-24,10340,Approved,Battery
W30246,V16481,2024-07-08,12371,Rejected,Battery
W30247,V15580,2023-01-12,7952,Approved,Brake Pad
W30248,V18126,2023-10-01,14160,Approved,Engine
W30249,V16890,2022-07-20,14070,Approved,Engine
W30250,V17855,2024-01-09,8657,Approved,Engine
W30251,V19947,2024-04-07,3076,Approved,AC
W30252,V18072,2022-07-31,4586,Approved,Brake Pad
W30253,V17505,2024-06-07,10744,Approved,Battery
W30254,V16312,2022-05-18,4871,Approved,Battery
W30255,V14664,2022-12-20,13281,Rejected,Transmission
W30256,V16651,2024-04-11,3316,Approved,Engine
W30257,V11658,2023-06-03,1711,Approved,Battery
W30258,V15512,2022-11-08,2854,Rejected,Transmission
W30259,V13939,2022-10-27,8274,Approved,Engine
W30260,V19661,2023-08-18,8159,Approved,Transmission
W30261,V13488,2023-04-27,14925,Rejected,AC
W30262,V18637,2023-09-23,6454,Approved,Transmission
W30263,V11953,2022-08-20,3539,Approved,Engine
W30264,V16560,2023-11-01,4437,Rejected,Engine
W30265,V10588,2023-05-29,12456,Rejected,Suspension
W30266,V17495,2024-02-29,14723,Rejected,Battery
W30267,V10472,2024-01-19,14829,Approved,AC
W30268,V14977,2022-04-21,7933,Approved,Battery
W30269,V16994,2022-06-22,4531,Approved,Suspension
W30270,V19260,2023-12-04,6248,Rejected,Transmission
W30271,V12929,2023-03-22,9698,Approved,Suspension
W30272,V17594,2022-11-18,8771,Approved,AC
W30273,V12869,2023-07-09,6588,Rejected,Engine
W30274,V12121,2023-01-16,8150,Approved,AC
W30275,V16067,2023-03-23,2689,Approved,Battery
W30276,V12316,2024-07-06,6880,Rejected,Brake Pad
W30277,V13452,2022-09-07,2967,Rejected,Brake Pad
W30278,V11525,2024-04-08,6617,Approved,AC
W30279,V17881,2023-12-03,13850,Approved,Engine
W30280,V15599,2024-02-28,8140,Approved,Transmission
W30281,V15900,2022-06-03,12352,Rejected,Battery
W30282,V18695,2023-03-25,13529,Approved,Engine
W30283,V16543,2024-01-14,3704,Approved,Brake Pad
W30284,V19113,2024-07-31,5956,Approved,AC
W30285,V10662,2024-09-18,1698,Approved,Engine
W30286,V13053,2023-05-23,4614,Approved,Transmission
W30287,V19687,2024-01-31,4496,Approved,Battery
W30288,V11279,2024-02-16,13701,Approved,Suspension
W30289,V18538,2024-03-23,13768,Rejected,AC
W30290,V10006,2023-08-24,8560,Approved,AC
W30291,V11003,2023-06-17,9322,Approved,Brake Pad
W30292,V14855,2023-12-13,3470,Rejected,AC
W30293,V19684,2024-07-22,4018,Approved,AC
W30294,V19343,2024-02-20,10902,Rejected,Brake Pad
W30295,V16357,2022-04-20,2718,Rejected,Battery
W30296,V19343,2023-06-03,1880,Approved,Battery
W30297,V19839,2023-09-25,12643,Rejected,Transmission
W30298,V18423,2022-05-21,1944,Rejected,AC
W30299,V19500,2022-09-12,4336,Rejected,Battery
W30300,V10741,2023-08-03,12231,Approved,Battery
W30301,V17945,2022-10-13,12772,Approved,Battery
W30302,V10032,2023-02-10,9738,Approved,Engine
W30303,V15999,2024-04-25,2375,Approved,Transmission
W30304,V11277,2022-09-03,11295,Approved,Battery
W30305,V11872,2023-11-03,7308,Rejected,AC
W30306,V10601,2022-10-27,12740,Approved,Brake Pad
W30307,V18463,2022-10-06,13194,Rejected,Brake Pad
W30308,V11304,2022-08-25,4144,Approved,Transmission
W30309,V19726,2023-11-02,3250,Rejected,AC
W30310,V15274,2022-10-25,8662,Approved,Brake Pad
W30311,V15413,2022-10-14,7838,Approved,AC
W30312,V11715,2023-10-31,6455,Rejected,Engine
W30313,V13867,2022-09-20,2119,Approved,Transmission
W30314,V15361,2023-05-03,10822,Approved,Suspension
W30315,V19979,2022-11-15,13669,Approved,AC
W30316,V14710,2023-01-12,9866,Approved,Engine
W30317,V13514,2023-07-16,9066,Rejected,AC
W30318,V11585,2023-04-21,2205,Approved,Brake Pad
W30319,V15209,2023-07-27,13396,Approved,Brake Pad
W30320,V15119,2023-10-18,7118,Approved,Battery
W30321,V12380,2022-08-14,4743,Approved,Brake Pad
W30322,V14805,2022-02-26,13657,Approved,Battery
W30323,V10630,2023-02-07,13833,Rejected,AC
W30324,V11635,2022-09-02,8677,Approved,Transmission
W30325,V13326,2023-03-10,3170,Approved,Engine
W30326,V12767,2022-04-27,13436,Approved,AC
W30327,V15594,2023-12-03,3630,Approved,Suspension
W30328,V16100,2022-02-15,2944,Rejected,Battery
W30329,V16299,2023-03-16,4363,Approved,AC
W30330,V13058,2023-04-26,8717,Approved,Battery
W30331,V15272,2022-06-29,13045,Approved,Suspension
W30332,V15347,2024-07-12,2261,Rejected,Suspension
W30333,V13395,2024-02-17,6644,Approved,AC
W30334,V12359,2024-09-10,3184,Approved,Brake Pad
W30335,V11768,2024-01-17,11381,Approved,Brake Pad
W30336,V10757,2023-11-14,8469,Rejected,Suspension
W30337,V17809,2024-07-13,1876,Rejected,Battery
W30338,V18711,2023-05-23,10869,Rejected,AC
W30339,V11632,2024-09-10,4016,Approved,AC
W30340,V16151,2023-11-27,1930,Approved,Brake Pad
W30341,V16769,2024-08-28,8107,Approved,Battery
W30342,V11831,2022-11-04,8222,Approved,Battery
W30343,V16833,2024-06-13,9739,Approved,Battery
W30344,V15267,2023-06-09,14981,Approved,Transmission
W30345,V13795,2023-11-22,14324,Rejected,AC
W30346,V18058,2022-04-03,2918,Rejected,AC
W30347,V18980,2022-09-08,14960,Approved,Transmission
W30348,V11086,2024-05-02,5159,Approved,Engine
W30349,V19571,2023-05-27,12304,Approved,Brake Pad
W30350,V15008,2022-12-21,10744,Rejected,Engine
W30351,V10505,2023-07-19,1293,Approved,Suspension
W30352,V17840,2022-12-07,13614,Approved,Engine
W30353,V12913,2023-10-13,6644,Approved,Transmission
W30354,V14445,2022-08-07,4303,Approved,AC
W30355,V14991,2022-04-17,3186,Approved,Battery
W30356,V17747,2023-04-05,12319,Approved,Brake Pad
W30357,V11088,2022-11-28,4345,Rejected,Engine
W30358,V10762,2024-01-23,14620,Approved,Brake Pad
W30359,V18628,2022-09-07,12198,Approved,Engine
W30360,V19791,2022-09-20,2051,Approved,Battery
W30361,V15852,2023-02-14,7176,Rejected,Engine
W30362,V11490,2024-01-20,8565,Approved,AC
W30363,V14269,2022-12-18,7947,Approved,Brake Pad
W30364,V16307,2022-01-29,5214,Approved,Suspension
W30365,V18547,2022-12-29,7005,Approved,Engine
W30366,V14520,2022-06-22,13006,Approved,Engine
W30367,V13739,2022-07-31,3862,Approved,Brake Pad
W30368,V13757,2024-04-04,11295,Rejected,Suspension
W30369,V10249,2022-07-30,9389,Approved,Battery
W30370,V17504,2022-09-13,7333,Approved,Battery
W30371,V11182,2022-08-04,8383,Rejected,AC
W30372,V16074,2024-08-06,13106,Approved,AC
W30373,V16393,2023-06-24,3657,Rejected,Brake Pad
W30374,V18491,2022-01-18,11424,Approved,Engine
W30375,V17069,2024-05-03,4805,Approved,Brake Pad
W30376,V16762,2024-07-27,8072,Rejected,AC
W30377,V16433,2023-04-29,8459,Rejected,AC
W30378,V16271,2023-07-15,11649,Rejected,Battery
W30379,V16185,2024-01-21,9506,Approved,Suspension
W30380,V16704,2024-08-02,11362,Approved,Battery
W30381,V12211,2022-03-31,11036,Approved,AC
W30382,V19103,2022-10-25,13860,Approved,Engine
W30383,V16931,2023-04-25,2173,Approved,Transmission
W30384,V18614,2022-07-26,2085,Approved,Battery
W30385,V11250,2022-04-23,10959,Approved,Suspension
W30386,V10644,2022-07-30,14612,Approved,Engine
