service_id,vehicle_id,service_date,component_replaced,cost,issue_type
S20000,V12551,2023-01-11,Battery,13529,Wear & Tear
S20001,V13012,2023-06-12,Suspension,3495,Wear & Tear
S20002,V16549,2024-02-06,Engine,14162,Discharge
S20003,V17432,2024-07-11,Transmission,1256,Leakage
S20004,V10933,2024-06-27,Transmission,1708,Malfunction
S20005,V17497,2024-01-14,Transmission,11248,Discharge
S20006,V16340,2024-02-29,Brake Pad,6861,Wear & Tear
S20007,V15458,2022-09-04,Brake Pad,8456,Wear & Tear
S20008,V13510,2023-08-06,Engine,10601,Malfunction
S20009,V19313,2024-01-16,Suspension,6320,Wear & Tear
S20010,V13725,2023-10-07,,10040,Wear & Tear
S20011,V14836,2024-01-04,Suspension,14221,Leakage
S20012,V11056,2022-03-25,Engine,9496,Malfunction
S20013,V14561,2023-12-19,Engine,4862,Leakage
S20014,V15254,2022-08-14,Brake Pad,8521,Malfunction
S20015,V11806,2023-06-15,Brake Pad,3164,Malfunction
S20016,V19254,2023-01-30,Battery,3597,Discharge
S20017,V14457,2023-12-20,Transmission,12516,Discharge
S20018,V13624,2024-04-30,Engine,5839,Leakage
S20019,V11930,2024-06-13,Engine,3718,Overheating
S20020,V15832,2023-11-04,Suspension,7041,Overheating
S20021,V14996,2022-09-14,AC,7768,Wear & Tear
S20022,V13638,2024-07-31,Brake Pad,3926,Leakage
S20023,V15125,2023-02-26,Transmission,7804,Malfunction
S20024,V13313,2023-09-24,Brake Pad,8569,Malfunction
S20025,V18910,2023-01-04,Transmission,5789,Discharge
S20026,V14532,2022-06-26,Transmission,7863,Leakage
S20027,V11509,2022-11-04,Engine,7433,Discharge
S20028,V16193,2024-05-18,Battery,12084,Wear & Tear
S20029,V13209,2023-04-17,AC,10891,Discharge
S20030,V13243,2023-03-21,Battery,5471,Overheating
S20031,V13017,2024-08-16,Engine,8461,Malfunction
S20032,V16670,2022-12-25,Engine,10953,Wear & Tear
S20033,V19677,2023-03-22,AC,12221,Leakage
S20034,V13428,2024-04-17,Brake Pad,5591,Discharge
S20035,V12657,2023-03-17,Battery,9403,Discharge
S20036,V10466,2023-06-21,Transmission,3820,Malfunction
S20037,V18553,2023-12-22,Engine,10866,Wear & Tear
S20038,V16523,2023-09-28,Transmission,1607,Wear & Tear
S20039,V12331,2022-04-02,Suspension,6020,Wear & Tear
S20040,V17930,2023-09-07,Brake Pad,12135,Malfunction
S20041,V13778,2022-01-12,Brake Pad,11964,Wear & Tear
S20042,V16780,2023-10-15,Suspension,3989,Overheating
S20043,V14890,2022-07-17,Transmission,2513,Discharge
S20044,V16016,2022-08-04,Battery,3646,Wear & Tear
S20045,V17023,2023-09-24,AC,9103,Wear & Tear
S20046,V17974,2022-08-19,Transmission,6924,Leakage
