vehicle_id,model,year,mileage,region
V10000,AutoMax,2023,110212.0,West
V10001,AutoMax,2022,97716.0,South
V10002,UrbanGo,2016,9132.0,East
V10003,SpeedX,2022,8325.0,North
V10004,EcoDrive,2019,28748.0,SOUTH
V10005,EcoDrive,2020,52545.0,south zone
V10006,UrbanGo,2023,38790.0,south zone
V10007,AutoMax,2018,40748.0,North
V10008,AutoMax,2019,116331.0,south zone
V10009,UrbanGo,2018,14097.0,south zone
V10010,EcoDrive,2016,36687.0,south zone
V10011,EcoDrive,2017,108461.0,East
V10012,EcoDrive,2018,5415.0,East
V10013,EcoDrive,2019,81767.0,SOUTH
V10014,TurboPro,2019,,SOUTH
V10015,EcoDrive,2023,64701.0,SOUTH
V10016,EcoDrive,2018,94910.0,North
V10017,TurboPro,2017,44825.0,East
V10018,SpeedX,2015,92151.0,East
V10019,TurboPro,2022,76621.0,South
V10020,AutoMax,2023,93367.0,North
V10021,TurboPro,2022,23983.0,south zone
V10022,UrbanGo,2017,41297.0,south zone
V10023,SpeedX,2017,10749.0,South
V10024,AutoMax,2017,24763.0,South
V10025,UrbanGo,2015,111167.0,North
V10026,EcoDrive,2020,13085.0,South
V10027,TurboPro,2017,60779.0,SOUTH
V10028,EcoDrive,2018,16072.0,East
V10029,UrbanGo,2019,96478.0,North
V10030,TurboPro,2022,83707.0,West
V10031,SpeedX,2020,105342.0,south zone
V10032,UrbanGo,2019,52415.0,North
V10033,UrbanGo,2015,110345.0,south zone
V10034,EcoDrive,2019,102588.0,South
V10035,SpeedX,2022,55149.0,South
V10036,TurboPro,2020,119192.0,North
V10037,SpeedX,2021,71015.0,South
V10038,EcoDrive,2017,113469.0,North
V10039,AutoMax,2023,72864.0,North
V10040,AutoMax,2017,53768.0,south zone
V10041,AutoMax,2023,45212.0,South
V10042,UrbanGo,2017,59428.0,West
V10043,SpeedX,2018,,West
V10044,EcoDrive,2018,103956.0,south zone
V10045,SpeedX,2017,65275.0,South
V10046,SpeedX,2021,30279.0,SOUTH
V10047,TurboPro,2015,12310.0,East
V10048,SpeedX,2018,47782.0,south zone
V10049,AutoMax,2021,100720.0,south zone
V10050,EcoDrive,2018,55434.0,East
V10051,AutoMax,2016,13833.0,West
V10052,TurboPro,2019,38670.0,south zone
V10053,TurboPro,2017,64912.0,West
V10054,EcoDrive,2018,116667.0,south zone
V10055,UrbanGo,2020,49929.0,North
V10056,UrbanGo,2020,89301.0,North
V10057,AutoMax,2022,107550.0,North
V10058,AutoMax,2022,49599.0,East
V10059,EcoDrive,2015,89808.0,East
V10060,TurboPro,2021,26954.0,North
V10061,SpeedX,2020,27929.0,East
V10062,SpeedX,2020,18081.0,south zone
V10063,EcoDrive,2018,,South
V10064,AutoMax,2015,70010.0,south zone
V10065,SpeedX,2018,106978.0,East
V10066,UrbanGo,2018,41090.0,South
V10067,UrbanGo,2020,46248.0,North
V10068,UrbanGo,2020,61068.0,SOUTH
V10069,UrbanGo,2023,82373.0,East
V10070,AutoMax,2018,62430.0,SOUTH
V10071,UrbanGo,2017,11696.0,South
V10072,AutoMax,2020,57216.0,South
V10073,AutoMax,2020,88639.0,West
V10074,SpeedX,2023,113501.0,East
V10075,UrbanGo,2018,76246.0,south zone
V10076,UrbanGo,2018,55994.0,West
V10077,TurboPro,2015,99632.0,West
V10078,AutoMax,2017,21817.0,SOUTH
V10079,AutoMax,2016,,North
V10080,AutoMax,2015,114509.0,East
V10081,EcoDrive,2023,25413.0,East
V10082,TurboPro,2022,6778.0,South
V10083,TurboPro,2018,78091.0,SOUTH
V10084,AutoMax,2022,95381.0,West
V10085,AutoMax,2016,17732.0,south zone
V10086,UrbanGo,2022,45948.0,East
V10087,AutoMax,2018,88192.0,East
V10088,UrbanGo,2018,100371.0,West
V10089,SpeedX,2020,8070.0,East
V10090,SpeedX,2018,55084.0,South
V10091,AutoMax,2020,99455.0,south zone
V10092,SpeedX,2022,93950.0,East
V10093,EcoDrive,2020,103695.0,south zone
V10094,AutoMax,2019,32562.0,south zone
V10095,SpeedX,2018,22919.0,South
V10096,TurboPro,2022,52012.0,South
V10097,EcoDrive,2019,55272.0,South
V10098,TurboPro,2017,70539.0,West
V10099,EcoDriv,2016,100830.0,North
V10100,AutoMax,2023,52919.0,West
V10101,AutoMax,2022,119429.0,East
V10102,AutoMax,2016,58492.0,East
V10103,TurboPro,2017,37016.0,West
V10104,SpeedX,2015,10250.0,West
V10105,TurboPro,2016,89859.0,North
V10106,SpeedX,2022,50718.0,South
V10107,EcoDrive,2023,12116.0,East
V10108,UrbanGo,2017,108453.0,south zone
V10109,TurboPro,2020,52113.0,south zone
V10110,UrbanGo,2015,11835.0,SOUTH
V10111,AutoMax,2021,111880.0,East
V10112,EcoDrive,2019,70670.0,West
V10113,TurboPro,2023,7774.0,SOUTH
V10114,UrbanGo,2023,39699.0,south zone
V10115,AutoMax,2023,50412.0,East
V10116,AutoMax,2019,55891.0,south zone
V10117,UrbanGo,2016,114647.0,South
V10118,TurboPro,2023,,North
V10119,AutoMax,2016,97206.0,East
V10120,TurboPro,2017,41184.0,south zone
V10121,UrbanGo,2016,30162.0,East
V10122,SpeedX,2019,72285.0,south zone
V10123,SpeedX,2018,102312.0,North
V10124,SpeedX,2017,69491.0,West
V10125,UrbanGo,2019,110448.0,East
V10126,AutoMax,2019,107988.0,South
V10127,AutoMax,2019,89641.0,SOUTH
V10128,AutoMax,2019,27418.0,North
V10129,AutoMax,2022,49941.0,SOUTH
V10130,TurboPro,2015,54936.0,South
V10131,UrbanGo,2023,68911.0,South
V10132,AutoMax,2022,35546.0,West
V10133,TurboPro,2017,56799.0,North
V10134,UrbanGo,2021,11124.0,south zone
V10135,UrbanGo,2020,72431.0,SOUTH
V10136,SpeedX,2022,31956.0,SOUTH
V10137,UrbanGo,2022,8128.0,North
V10138,EcoDrive,2021,70816.0,East
V10139,UrbanGo,2022,22060.0,south zone
V10140,SpeedX,2015,114208.0,North
V10141,SpeedX,2022,98344.0,East
V10142,AutoMax,2018,64280.0,SOUTH
V10143,TurboPro,2021,100657.0,SOUTH
V10144,EcoDrive,2017,33740.0,East
V10145,AutoMax,2015,36747.0,SOUTH
V10146,AutoMax,2016,83219.0,East
V10147,SpeedX,2022,100387.0,South
V10148,EcoDrive,2019,56224.0,West
V10149,TurboPro,2015,21972.0,South
V10150,SpeedX,2023,70852.0,SOUTH
V10151,TurboPro,2023,109082.0,West
V10152,AutoMax,2020,62795.0,East
V10153,TurboPro,2019,45455.0,West
V10154,AutoMax,2016,5919.0,West
V10155,TurboPro,2019,65376.0,North
V10156,AutoMax,2021,22404.0,North
V10157,TurboPro,2015,58811.0,North
V10158,SpeedX,2017,5798.0,south zone
V10159,EcoDrive,2017,38281.0,South
V10160,AutoMax,2015,101180.0,South
V10161,TurboPro,2017,85402.0,SOUTH
V10162,UrbanGo,2018,43730.0,SOUTH
V10163,AutoMax,2020,59578.0,West
V10164,AutoMax,2019,106557.0,East
V10165,AutoMax,2018,112209.0,south zone
